href,name,label:role,label:app,label:env,label:loc,label:os,label:Status,label:sne,label:src,label:subenv,label:proposedapp
,B2B-SN21_VISATOKEN.NATIONET.COM-SNAT-POOL,,,,,,,,,,
,B2B-SN21_VISATOKEN.NATIONET.COM-SNAT-POOL,,,,,,,,,,
,INT-ECIP-SNAT-POOL,,,,,,,,,,
,INT-ECIP-SNAT-POOL,,,,,,,,,,
,"CSTPSWEBS01
",,,,,,,,,,
,CSTPSWEBS02,,,,,,,,,,
,"DRTPSWEBW01
",,,,,,,,,,
,DRTPSWEBW02,,,,,,,,,,
